contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,dte,spot,mid,moneyness,T,bs_price,error,abs_error,rel_error
SPY260116C00595000,2026-01-02 16:52:41+00:00,595.0,86.66,89.07,89.63,-2.3799973,-2.672953,10.0,3905,0.4705863488769531,True,REGULAR,USD,2026-01-16,12,683.1699829101562,89.35,1.1481848452271537,0.0328767123287671,88.87378550920994,-0.4762144907900563,0.4762144907900563,-0.005329764866145006
SPY260116C00600000,2026-01-02 20:48:42+00:00,600.0,83.28,84.09,84.64,-1.1100006,-1.3153224,137.0,18941,0.4483697741699218,True,REGULAR,USD,2026-01-16,12,683.1699829101562,84.36500000000001,1.1386166381835938,0.0328767123287671,83.8796998169264,-0.4853001830736048,0.4853001830736048,-0.005752387637925736
SPY260116C00605000,2026-01-02 21:05:45+00:00,605.0,79.4,79.12,79.7,-2.1800003,-2.672224,6.0,3455,0.4294490649414063,True,REGULAR,USD,2026-01-16,12,683.1699829101562,79.41,1.1292065833225724,0.0328767123287671,78.88561412667923,-0.5243858733207674,0.5243858733207674,-0.0066035244090261605
SPY260116C00610000,2026-01-02 21:05:37+00:00,610.0,74.42,74.14,74.72,-0.22000122,-0.29474977,170.0,4319,0.4075986975097656,True,REGULAR,USD,2026-01-16,12,683.1699829101562,74.43,1.119950791655994,0.0328767123287671,73.89152845930425,-0.5384715406957525,0.5384715406957525,-0.0072346035294337295
SPY260116C00615000,2026-01-02 20:59:50+00:00,615.0,69.17,69.16,69.71,-2.209999,-3.0961041,88.0,2936,0.3839172937011719,True,REGULAR,USD,2026-01-16,12,683.1699829101562,69.435,1.110845500666921,0.0328767123287671,68.89744300727261,-0.5375569927273887,0.5375569927273887,-0.0077418735900826475
SPY260116C00620000,2026-01-02 20:49:47+00:00,620.0,63.66,64.23,64.73,-1.1099968,-1.7137514,74.0,5416,0.3619448571777344,True,REGULAR,USD,2026-01-16,12,683.1699829101562,64.48,1.1018870692099294,0.0328767123287671,63.90335926211412,-0.5766407378858815,0.5766407378858815,-0.008942939483341836
SPY260116C00621000,2025-12-23 20:45:19+00:00,621.0,69.31,63.18,64.98,0.0,0.0,54.0,40,0.4172421557617187,True,REGULAR,USD,2026-01-16,12,683.1699829101562,64.08,1.100112693897192,0.0328767123287671,62.904543223228984,-1.1754567767710142,1.1754567767710142,-0.018343582658723694
SPY260116C00622000,2026-01-02 20:59:43+00:00,622.0,62.2,61.21,64.0,-7.0600014,-10.193476,28.0,28,0.412969737548828,True,REGULAR,USD,2026-01-16,12,683.1699829101562,62.605,1.0983440239713125,0.0328767123287671,61.90572769857579,-0.6992723014242088,0.6992723014242088,-0.01116959190838126
SPY260116C00623000,2025-12-26 14:53:05+00:00,623.0,69.99,60.21,62.98,0.0,0.0,40.0,45,0.4069883520507812,True,REGULAR,USD,2026-01-16,12,683.1699829101562,61.595,1.0965810319585172,0.0328767123287671,60.90691291322696,-0.688087086773038,0.688087086773038,-0.011171151664470136
SPY260116C00624000,2025-12-24 16:46:43+00:00,624.0,68.67,60.21,60.77,0.0,0.0,352.0,196,0.3455875988769531,True,REGULAR,USD,2026-01-16,12,683.1699829101562,60.49,1.094823690561148,0.0328767123287671,59.908099183662216,-0.5819008163377859,0.5819008163377859,-0.009619785358535062
SPY260116C00625000,2026-01-02 20:46:22+00:00,625.0,58.69,59.21,59.84,-0.5400009,-0.91170174,36.0,3035,0.3444889770507812,True,REGULAR,USD,2026-01-16,12,683.1699829101562,59.525000000000006,1.09307197265625,0.0328767123287671,58.90928695181174,-0.6157130481882689,0.6157130481882689,-0.010343772334116234
SPY260116C00626000,2025-12-29 17:19:56+00:00,626.0,62.62,58.21,58.85,0.0,0.0,17.0,105,0.3403386279296875,True,REGULAR,USD,2026-01-16,12,683.1699829101562,58.53,1.0913258512941792,0.0328767123287671,57.9104768305217,-0.619523169478299,0.619523169478299,-0.010584711591975039
SPY260116C00627000,2025-12-23 14:50:21+00:00,627.0,56.78,56.24,59.03,-4.7800026,-7.7647867,40.0,75,0.3884338500976562,True,REGULAR,USD,2026-01-16,12,683.1699829101562,57.635000000000005,1.0895852996972188,0.0328767123287671,56.91166966380865,-0.7233303361913528,0.7233303361913528,-0.012550192351719489
